Setting logging level to DEBUG
2023-10-05 09:27:02.996+00:00 | main | DEBUG | Native | Looking in classpath from jdk.internal.loader.ClassLoaders$AppClassLoader@5bc2b487 for /com/sun/jna/linux-x86-64/libjnidispatch.so
2023-10-05 09:27:03.000+00:00 | main | DEBUG | Native | Found library resource at jar:file:/opt/besu/lib/jna-5.13.0.jar!/com/sun/jna/linux-x86-64/libjnidispatch.so
2023-10-05 09:27:03.002+00:00 | main | DEBUG | Native | Extracting library to /opt/besu/.cache/JNA/temp/jna4820560628324964601.tmp
2023-10-05 09:27:03.006+00:00 | main | DEBUG | Native | Trying /opt/besu/.cache/JNA/temp/jna4820560628324964601.tmp
2023-10-05 09:27:03.009+00:00 | main | DEBUG | Native | Found jnidispatch at /opt/besu/.cache/JNA/temp/jna4820560628324964601.tmp
2023-10-05 09:27:03.041+00:00 | main | DEBUG | NativeLibrary | Looking for library 'secp256k1'
2023-10-05 09:27:03.041+00:00 | main | DEBUG | NativeLibrary | Adding paths from jna.library.path: null
2023-10-05 09:27:03.042+00:00 | main | DEBUG | NativeLibrary | Trying libsecp256k1.so
2023-10-05 09:27:03.043+00:00 | main | DEBUG | NativeLibrary | Loading failed with message: libsecp256k1.so: cannot open shared object file: No such file or directory
2023-10-05 09:27:03.043+00:00 | main | DEBUG | NativeLibrary | Adding system paths: [/usr/lib/x86_64-linux-gnu, /lib/x86_64-linux-gnu, /usr/lib64, /lib64, /usr/lib, /lib]
2023-10-05 09:27:03.043+00:00 | main | DEBUG | NativeLibrary | Trying libsecp256k1.so
2023-10-05 09:27:03.044+00:00 | main | DEBUG | NativeLibrary | Loading failed with message: libsecp256k1.so: cannot open shared object file: No such file or directory
2023-10-05 09:27:03.044+00:00 | main | DEBUG | NativeLibrary | Looking for version variants
2023-10-05 09:27:03.047+00:00 | main | DEBUG | Native | Looking in classpath from jdk.internal.loader.ClassLoaders$AppClassLoader@5bc2b487 for secp256k1
2023-10-05 09:27:03.048+00:00 | main | DEBUG | Native | Found library resource at jar:file:/opt/besu/lib/secp256k1-0.8.1.jar!/linux-x86-64/libsecp256k1.so
2023-10-05 09:27:03.049+00:00 | main | DEBUG | Native | Extracting library to /opt/besu/.cache/JNA/temp/jna3976140381634019096.tmp
2023-10-05 09:27:03.058+00:00 | main | DEBUG | NativeLibrary | Found library 'secp256k1' at /opt/besu/.cache/JNA/temp/jna3976140381634019096.tmp
2023-10-05 09:27:03.100+00:00 | main | INFO  | Besu | Starting Besu
2023-10-05 09:27:03.166+00:00 | main | DEBUG | LoggerFactory | Using io.vertx.core.logging.Log4j2LogDelegateFactory
2023-10-05 09:27:03.213+00:00 | main | DEBUG | PlatformDependent0 | -Dio.netty.noUnsafe: false
2023-10-05 09:27:03.214+00:00 | main | DEBUG | PlatformDependent0 | Java version: 17
2023-10-05 09:27:03.215+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.theUnsafe: available
2023-10-05 09:27:03.216+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.copyMemory: available
2023-10-05 09:27:03.217+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.storeFence: available
2023-10-05 09:27:03.218+00:00 | main | DEBUG | PlatformDependent0 | java.nio.Buffer.address: available
2023-10-05 09:27:03.219+00:00 | main | DEBUG | PlatformDependent0 | direct buffer constructor: available
2023-10-05 09:27:03.220+00:00 | main | DEBUG | PlatformDependent0 | java.nio.Bits.unaligned: available, true
2023-10-05 09:27:03.222+00:00 | main | DEBUG | PlatformDependent0 | jdk.internal.misc.Unsafe.allocateUninitializedArray(int): available
2023-10-05 09:27:03.222+00:00 | main | DEBUG | PlatformDependent0 | java.nio.DirectByteBuffer.<init>(long, int): available
2023-10-05 09:27:03.223+00:00 | main | DEBUG | PlatformDependent | sun.misc.Unsafe: available
2023-10-05 09:27:03.223+00:00 | main | DEBUG | PlatformDependent | maxDirectMemory: 4148166656 bytes (maybe)
2023-10-05 09:27:03.224+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2023-10-05 09:27:03.224+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2023-10-05 09:27:03.225+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.maxDirectMemory: 4148166656 bytes
2023-10-05 09:27:03.226+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.uninitializedArrayAllocationThreshold: 1024
